stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
3140,,"VX CONDE CIMETIERE",,  50.459323,   3.563523,,,0,,0
3147,,"MONTESQUIEU",,  50.298219,   3.393070,,,0,,0
3159,,"MACOU",,  50.467212,   3.599334,,,0,place_MACOU,0
3169,,"JULES GUESDE",,  50.435990,   3.569784,,,0,,0
3172,,"POTERNE",,  50.362533,   3.530607,,,0,place_POT,1
3178,,"ST SAULVE DOUANE",,  50.371877,   3.556988,,,0,,0
3188,,"QUAROUBLE 4 PAVES",,  50.391768,   3.621534,,,0,,0
3196,,"FRONTIERE",,  50.403195,   3.672508,,,0,,0
3206,,"QUIEVRECH. CALVAIRE",,  50.392417,   3.662814,,,0,,0
3226,,"ST CHRISTOPHE",,  50.343978,   3.479363,,,0,,0
3231,,"ROUVIGNIES EGLISE",,  50.325717,   3.437216,,,0,,0
3237,,"RUE D'HAVELUY",,  50.331176,   3.401158,,,0,,0
3238,,"TRARIEUX",,  50.327113,   3.400453,,,0,,0
3241,,"ESPACE VILLARS",,  50.325850,   3.392893,,,0,place_DLB,1
3248,,"HOTEL DE VILLE",,  50.358429,   3.522522,,,0,place_TYVIPO,0
3249,,"ECLAIREUR",,  50.312212,   3.345127,,,0,,0
3251,,"ROEULX J.MOULIN",,  50.309603,   3.333812,,,0,,1
3255,,"ESCAUDAIN 4 CHEMINS",,  50.326651,   3.344969,,,0,,0
3272,,"8 MAISONS",,  50.352073,   3.472976,,,0,,0
3284,,"SOUS PREFECTURE",,  50.356147,   3.519868,,,0,place_TYSSPR,0
3285,,"DENAIN HOPITAL",,  50.329381,   3.394991,,,0,,0
3287,,"GARE DU NORD",,  50.333765,   3.389682,,,0,,1
3294,,"PORTE DE PARIS",,  50.353938,   3.517177,,,0,place_TYFAPA,0
3298,,"LES 2 FERMES",,  50.330586,   3.318374,,,0,,0
3313,,"CUVINOT ECOLE",,  50.402121,   3.603444,,,0,,0
3323,,"LYCEE POLYVALENT",,  50.323072,   3.397117,,,0,,0
3326,,"SAINTE-CATHERINE",,  50.351552,   3.516809,,,0,place_TYSTCA,0
3331,,"CROIX STE MARIE",,  50.308673,   3.402540,,,0,,0
3336,,"KENNEDY",,  50.302596,   3.390271,,,0,,0
3341,,"MINEUR",,  50.319625,   3.517673,,,0,,0
3345,,"MARRONNIER",,  50.291777,   3.539098,,,0,,0
3346,,"RUE DES ECOLES",,  50.293578,   3.542118,,,0,,0
3358,,"CURGIES CHAPELLE",,  50.328453,   3.607643,,,0,,0
3376,,"WALLERS GARE",,  50.384088,   3.394662,,,0,,0
3401,,"ZINCIQUES",,  50.282652,   3.336547,,,0,,0
3440,,"CONCORDE",,  50.326771,   3.488989,,,0,,0
3441,,"TRITH PLACE",,  50.323625,   3.483411,,,0,,0
3447,,"VOLTAIRE",,  50.364246,   3.480303,,,0,,1
3450,,"MARECHAL",,  50.360552,   3.449648,,,0,,0
3458,,"POIRIER GARE",,  50.330825,   3.502809,,,0,place_PGA,0
3459,,"FONTENELLE",,  50.321646,   3.499373,,,0,,0
3469,,"THIANT PLACE",,  50.304296,   3.449217,,,0,,0
3470,,"THIANT CAOUTI",,  50.309577,   3.447701,,,0,,0
3481,,"CINQ QUARTS",,  50.351238,   3.638396,,,0,,0
3484,,"SEBOURG TRIEZ",,  50.334868,   3.652648,,,0,,0
3505,,"BELLAING CALVAIRE",,  50.367853,   3.428496,,,0,,0
3512,,"MASTAING CONDORCET",,  50.305743,   3.301626,,,0,,0
3518,,"CAMPUS MONT HOUY",,  50.328709,   3.514636,,,0,place_TYWATT,0
3523,,"LE RUISSARD",,  50.378155,   3.505576,,,0,,0
3536,,"PLACE CARNOT",,  50.380645,   3.552513,,,0,,0
3537,,"ALBERT SCHWEITZER",,  50.346225,   3.554679,,,0,,0
3541,,"MORIAMEZ RECHERCHE",,  50.325016,   3.514389,,,0,place_TYLOTT,0
3552,,"CACHIN",,  50.296368,   3.394645,,,0,,0
3555,,"CHARMILLES",,  50.339767,   3.306271,,,0,,0
3562,,"CROISETTE",,  50.446337,   3.460459,,,0,,0
3564,,"JEAN DULIEU",,  50.326510,   3.385490,,,0,place_TALEND,0
3565,,"BELLEVUE",,  50.335817,   3.400202,,,0,place_TBELVU,1
3566,,"TAFFIN",,  50.329311,   3.385032,,,0,place_TTAFIN,0
3567,,"DOUCHY ALLENDE",,  50.295838,   3.397004,,,0,,1
3581,,"JAURES",,  50.331879,   3.391811,,,0,place_TJJAUR,0
3582,,"LE GALIBOT",,  50.352969,   3.452605,,,0,place_THERIN,1
3594,,"CHAPELLE DU MARAIS",,  50.397557,   3.612503,,,0,,0
3605,,"BOIS DES MONTAGNES",,  50.355906,   3.471361,,,0,place_TCEFPA,0
3606,,"LYCEE COUTEAUX",,  50.447718,   3.443251,,,0,,0
3629,,"LA PLAINE",,  50.360570,   3.487962,,,0,place_TLAPLA,0
3634,,"LYCEE PAYS DE CONDE",,  50.460772,   3.582401,,,0,place_LYCO,1
3640,,"ESPACE VILLARS",,  50.326478,   3.392524,,,0,place_DLB,0
3643,,"LES 4 VENTS",,  50.463879,   3.516892,,,0,,0
3650,,"R.HASPRES SAL.SPORTS",,  50.254291,   3.377512,,,0,,0
3653,,"ST AMAND ELNON",,  50.454050,   3.430008,,,0,place_PWELL,0
3654,,"LA ROUGE PLIE",,  50.317811,   3.494896,,,0,,0
3667,,"CLG J.-J. ROUSSEAU",,  50.303689,   3.459322,,,0,,0
3673,,"MUSMEAUX",,  50.386973,   3.484078,,,0,,1
3674,,"MARCEL SEMBAT",,  50.385541,   3.482177,,,0,,0
3675,,"BOSQUET",,  50.382263,   3.478091,,,0,,1
3685,,"ST AMAND HOPITAL",,  50.447677,   3.432245,,,0,,0
3696,,"VERCHAIN EGLISE",,  50.267069,   3.475938,,,0,,0
3699,,"HECQUET",,  50.265972,   3.475591,,,0,,0
3719,,"QUIEVRECHAIN PUITS 2",,  50.387196,   3.660380,,,0,,0
3720,,"GUY MORELLE",,  50.396866,   3.664625,,,0,,0
3742,,"MARLY AUTOROUTE",,  50.337704,   3.559089,,,0,place_MAA,0
3774,,"LA TAILLETTE",,  50.459776,   3.494723,,,0,,0
3775,,"HAUTERIVE",,  50.469485,   3.481872,,,0,,0
3780,,"NOTRE DAME AU BOIS",,  50.457258,   3.525293,,,0,,0
3784,,"RUE DE LA BRUYERE",,  50.443441,   3.403439,,,0,,0
3790,,"DUNANT",,  50.446173,   3.426932,,,0,,0
3791,,"MALECOT",,  50.447464,   3.436759,,,0,,0
3794,,"OGURA",,  50.378449,   3.614257,,,0,,0
3795,,"TOYOTA",,  50.366387,   3.609738,,,0,,0
3811,,"QUERENAING CAFE TABAC",,  50.284179,   3.513943,,,0,,0
3816,,"MORTAGNE PONT SCARPE",,  50.499222,   3.450939,,,0,,0
3833,,"FACTEUR",,  50.500654,   3.436631,,,0,,0
3853,,"BOUCHAIN CIMETIERE",,  50.286514,   3.312225,,,0,,0
3856,,"TOUR DU MOULIN",,  50.369039,   3.610501,,,0,,0
3864,,"DACQUIN",,  50.333197,   3.450215,,,0,,0
3913,,"CARNOT",,  50.436850,   3.583658,,,0,place_CARNO,1
3916,,"HAMEAU DE MACOU",,  50.460448,   3.593231,,,0,place_HAMEAU,1
3917,,"TOURNIQUET",,  50.453850,   3.589596,,,0,place_TOURNI,1
3918,,"CONDE HOTEL DE VILLE",,  50.447722,   3.594730,,,0,place_COHOTE,1
3919,,"FRESNES MAIRIE",,  50.432855,   3.579143,,,0,place_FRMAIR,1
3924,,"LECELLES MAIRIE",,  50.477254,   3.402860,,,0,,0
3930,,"SALLE POLYVALENTE",,  50.419717,   3.558574,,,0,place_SPOLYV,1
3931,,"PONT DE BRUAY",,  50.389032,   3.528069,,,0,place_PONBRU,1
3932,,"LES TERRILS D'ANZIN",,  50.378606,   3.519634,,,0,place_TEANZ,0
3933,,"CENTRE DES CONGRES",,  50.374858,   3.516816,,,0,place_RIVESC,1
3934,,"ANDRE PARENT",,  50.370192,   3.513229,,,0,place_ATECEN,1
3936,,"SAINT-WAAST HOPITAL",,  50.363737,   3.491816,,,0,place_TYSAWA,1
3940,,"ESPACE VILLARS",,  50.326026,   3.392693,,,0,place_DLB,1
3971,,"ROUTE D'AULNOY",,  50.344669,   3.531549,,,0,,0
4003,,"VALENCIENNES GARE - QUAI E",,  50.364714,   3.519724,,,0,place_GARE,0
4015,,"DUTEMPLE",,  50.358211,   3.484514,,,0,place_TYDUT,1
4036,,"SAINT-WAAST HOPITAL",,  50.363935,   3.492010,,,0,place_TYSAWA,1
4041,,"RES. UNIVERSITAIRE",,  50.328746,   3.512779,,,0,place_AUL,0
